stat_date,parking_lot,total_revenue,temp_revenue,monthly_revenue,entry_count,payment_failure_rate,abnormal_open_count,free_release_count,occupancy_rate
2020-12-17,厦门七星大厦,0.0,0.0,0.0,1,0.0,0,1,0.0048
2021-06-26,厦门中航城C07,0.0,0.0,0.0,1,0.0,0,1,0.002
2022-01-26,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2022-10-29,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2023-08-10,厦门软件园三期A区A01、A06,0.0,0.0,0.0,1,0.0,0,1,0.0016
2023-11-19,厦门中航城C07,0.0,0.0,0.0,1,0.0,0,1,0.002
2023-12-08,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2023-12-20,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2024-03-10,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2024-05-01,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2024-05-24,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2024-07-20,厦门国金广场,0.0,0.0,0.0,1,0.0,0,1,0.0017
2024-09-01,厦门七星大厦,0.0,0.0,0.0,1,0.0,0,1,0.0048
2024-09-03,厦门软件园三期A区A01、A06,0.0,0.0,0.0,2,0.0,0,1,0.0031
2024-09-08,厦门软件园三期A区A01、A06,0.0,0.0,0.0,1,0.0,0,0,0.0016
2024-09-12,厦门软件园三期A区A01、A06,0.0,0.0,0.0,1,0.0,0,0,0.0016
2024-09-13,厦门软件园三期A区A01、A06,0.0,0.0,0.0,1,0.0,0,0,0.0016
2024-09-16,厦门软件园三期A区A01、A06,0.0,0.0,0.0,1,0.0,0,0,0.0016
2024-09-17,厦门软件园三期A区A01、A06,0.0,0.0,0.0,1,0.0,0,0,0.0016
2024-09-19,厦门软件园三期A区A01、A06,0.0,0.0,0.0,1,0.0,0,1,0.0016
2024-09-24,厦门软件园三期A区A01、A06,0.0,0.0,0.0,1,0.0,0,0,0.0016
2024-09-25,厦门软件园三期A区A01、A06,0.0,0.0,0.0,2,0.0,0,0,0.0031
2024-09-26,厦门软件园三期A区A01、A06,0.0,0.0,0.0,6,0.0,0,0,0.0093
2024-09-27,厦门软件园三期A区A01、A06,0.0,0.0,0.0,2,0.0,0,0,0.0031
2024-09-28,厦门软件园三期A区A01、A06,0.0,0.0,0.0,6,0.0,0,0,0.0093
2024-09-29,厦门软件园三期A区A01、A06,0.0,0.0,0.0,19,0.0,0,2,0.0295
2024-09-30,厦门软件园三期A区A01、A06,0.0,0.0,0.0,51,0.0,0,3,0.0602
2024-10-01,厦门软件园三期A区A01、A06,354.0,354.0,0.0,228,0.0,0,67,0.0581
2024-10-02,厦门软件园三期A区A01、A06,200.0,200.0,0.0,177,0.0,0,57,0.05
2024-10-03,厦门软件园三期A区A01、A06,266.0,266.0,0.0,170,0.0,0,49,0.0535
2024-10-04,厦门软件园三期A区A01、A06,164.0,164.0,0.0,225,0.0,0,55,0.0683
2024-10-05,厦门软件园三期A区A01、A06,274.0,274.0,0.0,302,0.0,0,87,0.0907
2024-10-06,厦门软件园三期A区A01、A06,299.0,299.0,0.0,305,0.0,0,82,0.0832
2024-10-07,厦门软件园三期A区A01、A06,558.0,558.0,0.0,452,0.0,0,109,0.1457
2024-10-08,厦门软件园三期A区A01、A06,2106.0,2106.0,0.0,1281,0.0,0,268,0.45
2024-10-09,厦门软件园三期A区A01、A06,1790.0,1790.0,0.0,1228,0.0,0,250,0.4094
2024-10-10,厦门软件园三期A区A01、A06,1393.0,1393.0,0.0,1235,0.0,0,263,0.4041
2024-10-11,厦门软件园三期A区A01、A06,1282.0,1282.0,0.0,1204,0.0,0,252,0.3844
2024-10-12,厦门软件园三期A区A01、A06,1482.0,1482.0,0.0,1150,0.0,0,248,0.3523
2024-10-13,厦门软件园三期A区A01、A06,652.0,652.0,0.0,359,0.0,0,97,0.1071
2024-10-14,厦门软件园三期A区A01、A06,1394.0,1394.0,0.0,1230,0.0,0,224,0.4296
2024-10-15,厦门软件园三期A区A01、A06,1460.0,1460.0,0.0,1176,0.0,0,234,0.4017
2024-10-16,厦门软件园三期A区A01、A06,1394.0,1394.0,0.0,1188,0.0,0,246,0.3938
2024-10-17,厦门软件园三期A区A01、A06,1157.0,1157.0,0.0,1158,0.0,0,227,0.3968
2024-10-18,厦门软件园三期A区A01、A06,1292.0,1292.0,0.0,1131,0.0,0,242,0.374
2024-10-19,厦门软件园三期A区A01、A06,838.0,838.0,0.0,475,0.0,0,118,0.139
2024-10-20,厦门软件园三期A区A01、A06,386.0,386.0,0.0,243,0.0,0,69,0.0784
2024-10-21,厦门软件园三期A区A01、A06,1600.0,1600.0,0.0,1263,0.0,0,264,0.4365
2024-10-22,厦门软件园三期A区A01、A06,2666.0,2666.0,0.0,1181,0.0,0,247,0.3899
2024-10-23,厦门软件园三期A区A01、A06,1230.0,1230.0,0.0,1170,0.0,0,249,0.3847
2024-10-24,厦门软件园三期A区A01、A06,1578.0,1578.0,0.0,1203,0.0,0,255,0.4145
2024-10-25,厦门软件园三期A区A01、A06,1746.0,1746.0,0.0,1206,0.0,0,240,0.4116
2024-10-26,厦门软件园三期A区A01、A06,1054.0,1054.0,0.0,676,0.0,0,151,0.206
2024-10-27,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2024-10-27,厦门软件园三期A区A01、A06,776.0,776.0,0.0,305,0.0,0,58,0.1106
2024-10-28,厦门软件园三期A区A01、A06,1686.0,1686.0,0.0,1230,0.0,0,235,0.4161
2024-10-29,厦门软件园三期A区A01、A06,1646.0,1646.0,0.0,1180,0.0,0,215,0.3982
2024-10-30,厦门软件园三期A区A01、A06,1306.0,1306.0,0.0,1229,0.0,0,253,0.4167
2024-10-31,厦门软件园三期A区A01、A06,1488.0,1488.0,0.0,1186,0.0,0,234,0.3954
2024-11-01,厦门软件园三期A区A01、A06,1608.0,1608.0,0.0,1223,0.0,0,258,0.3933
2024-11-02,厦门软件园三期A区A01、A06,764.0,764.0,0.0,447,0.0,0,119,0.1318
2024-11-03,厦门软件园三期A区A01、A06,532.0,532.0,0.0,322,0.0,0,80,0.1041
2024-11-04,厦门软件园三期A区A01、A06,1672.0,1672.0,0.0,1314,0.0,0,285,0.4419
2024-11-05,厦门软件园三期A区A01、A06,1924.0,1924.0,0.0,1244,0.0,0,240,0.419
2024-11-06,厦门软件园三期A区A01、A06,1558.0,1558.0,0.0,1203,0.0,0,222,0.4124
2024-11-07,厦门软件园三期A区A01、A06,1668.0,1668.0,0.0,1223,0.0,0,253,0.407
2024-11-08,厦门软件园三期A区A01、A06,1668.0,1668.0,0.0,1217,0.0,0,259,0.3904
2024-11-09,厦门软件园三期A区A01、A06,908.0,908.0,0.0,476,0.0,0,108,0.1422
2024-11-10,厦门软件园三期A区A01、A06,702.0,702.0,0.0,337,0.0,0,77,0.1143
2024-11-11,厦门软件园三期A区A01、A06,1672.0,1672.0,0.0,1247,0.0,0,250,0.423
2024-11-12,厦门软件园三期A区A01、A06,1602.0,1602.0,0.0,1154,0.0,0,224,0.4026
2024-11-13,厦门软件园三期A区A01、A06,1528.0,1528.0,0.0,1215,0.0,0,270,0.3836
2024-11-14,厦门软件园三期A区A01、A06,1596.0,1596.0,0.0,1154,0.0,0,246,0.3904
2024-11-15,厦门软件园三期A区A01、A06,1730.0,1730.0,0.0,1229,0.0,0,270,0.3907
2024-11-16,厦门软件园三期A区A01、A06,754.0,754.0,0.0,506,0.0,0,127,0.1364
2024-11-17,厦门软件园三期A区A01、A06,818.0,818.0,0.0,371,0.0,0,101,0.0964
2024-11-18,厦门软件园三期A区A01、A06,1862.0,1862.0,0.0,1272,0.0,0,255,0.4296
2024-11-19,厦门软件园三期A区A01、A06,1868.0,1868.0,0.0,1262,0.0,0,276,0.3954
2024-11-20,厦门软件园三期A区A01、A06,2050.0,2050.0,0.0,1303,0.0,0,292,0.3923
2024-11-21,厦门软件园三期A区A01、A06,1877.0,1877.0,0.0,1266,0.0,0,267,0.4163
2024-11-22,厦门软件园三期A区A01、A06,1464.0,1464.0,0.0,1247,0.0,0,267,0.3876
2024-11-23,厦门软件园三期A区A01、A06,1044.0,1044.0,0.0,507,0.0,0,144,0.133
2024-11-24,厦门软件园三期A区A01、A06,812.0,812.0,0.0,338,0.0,0,83,0.102
2024-11-25,厦门软件园三期A区A01、A06,1970.0,1970.0,0.0,1308,0.0,0,293,0.4261
2024-11-26,厦门软件园三期A区A01、A06,1655.0,1655.0,0.0,1199,0.0,0,235,0.3979
2024-11-27,厦门软件园三期A区A01、A06,1618.0,1618.0,0.0,1199,0.0,0,245,0.3928
2024-11-28,厦门软件园三期A区A01、A06,1498.0,1498.0,0.0,1216,0.0,0,285,0.3944
2024-11-29,厦门软件园三期A区A01、A06,1481.0,1481.0,0.0,1201,0.0,0,242,0.3713
2024-11-30,厦门软件园三期A区A01、A06,1254.0,1254.0,0.0,731,0.0,0,155,0.219
2024-12-01,厦门软件园三期A区A01、A06,590.0,590.0,0.0,306,0.0,0,75,0.106
2024-12-02,厦门软件园三期A区A01、A06,2018.0,2018.0,0.0,1255,0.0,0,254,0.4302
2024-12-03,厦门软件园三期A区A01、A06,1846.0,1846.0,0.0,1185,0.0,0,200,0.4114
2024-12-04,厦门软件园三期A区A01、A06,1628.0,1628.0,0.0,1237,0.0,0,253,0.4157
2024-12-05,厦门软件园三期A区A01、A06,1404.0,1404.0,0.0,1146,0.0,0,232,0.3789
2024-12-06,厦门软件园三期A区A01、A06,1456.0,1456.0,0.0,1166,0.0,0,241,0.3698
2024-12-07,厦门软件园三期A区A01、A06,1238.0,1238.0,0.0,519,0.0,0,140,0.1443
2024-12-08,厦门软件园三期A区A01、A06,652.0,652.0,0.0,276,0.0,0,88,0.0693
2024-12-09,厦门软件园三期A区A01、A06,1730.0,1730.0,0.0,1235,0.0,0,247,0.4518
2024-12-10,厦门软件园三期A区A01、A06,2046.0,2046.0,0.0,1300,0.0,0,287,0.4036
2024-12-11,厦门软件园三期A区A01、A06,1560.0,1560.0,0.0,1243,0.0,0,245,0.4066
2024-12-12,厦门软件园三期A区A01、A06,1600.0,1600.0,0.0,1180,0.0,0,227,0.3994
2024-12-13,厦门软件园三期A区A01、A06,1616.0,1616.0,0.0,1189,0.0,0,262,0.3687
2024-12-14,厦门软件园三期A区A01、A06,1300.0,1300.0,0.0,531,0.0,0,148,0.1403
2024-12-15,厦门软件园三期A区A01、A06,610.0,610.0,0.0,314,0.0,0,69,0.1002
2024-12-16,厦门软件园三期A区A01、A06,1452.0,1452.0,0.0,1224,0.0,0,246,0.4226
2024-12-17,厦门软件园三期A区A01、A06,1352.0,1352.0,0.0,1225,0.0,0,257,0.4154
2024-12-18,厦门软件园三期A区A01、A06,1098.0,1098.0,0.0,1189,0.0,0,236,0.3872
2024-12-19,厦门软件园三期A区A01、A06,1298.0,1298.0,0.0,1222,0.0,0,256,0.3933
2024-12-20,厦门软件园三期A区A01、A06,1382.0,1382.0,0.0,1236,0.0,0,269,0.3768
2024-12-21,厦门软件园三期A区A01、A06,898.0,898.0,0.0,449,0.0,0,106,0.1222
2024-12-22,厦门软件园三期A区A01、A06,456.0,456.0,0.0,307,0.0,0,83,0.0998
2024-12-23,厦门软件园三期A区A01、A06,1770.0,1770.0,0.0,1143,0.0,0,207,0.4158
2024-12-24,厦门软件园三期A区A01、A06,1970.0,1970.0,0.0,1215,0.0,0,229,0.3843
2024-12-25,厦门软件园三期A区A01、A06,1318.0,1318.0,0.0,1233,0.0,0,259,0.3874
2024-12-26,厦门软件园三期A区A01、A06,1474.0,1474.0,0.0,1167,0.0,0,237,0.3769
2024-12-27,厦门软件园三期A区A01、A06,1294.0,1294.0,0.0,1210,0.0,0,251,0.3739
2024-12-28,厦门软件园三期A区A01、A06,1176.0,1176.0,0.0,682,0.0,0,144,0.2027
2024-12-29,厦门软件园三期A区A01、A06,556.0,556.0,0.0,284,0.0,0,73,0.0897
2024-12-30,厦门软件园三期A区A01、A06,1450.0,1450.0,0.0,1160,0.0,0,248,0.4134
2024-12-31,厦门软件园三期A区A01、A06,1390.0,1390.0,0.0,1168,0.0,0,241,0.3694
2025-01-01,厦门软件园三期A区A01、A06,252.0,252.0,0.0,221,0.0,0,51,0.0707
2025-01-02,厦门软件园三期A区A01、A06,1504.0,1504.0,0.0,1104,0.0,0,198,0.391
2025-01-03,厦门软件园三期A区A01、A06,1426.0,1426.0,0.0,1155,0.0,0,241,0.3717
2025-01-04,厦门软件园三期A区A01、A06,980.0,980.0,0.0,544,0.0,0,138,0.1397
2025-01-05,厦门软件园三期A区A01、A06,394.0,394.0,0.0,271,0.0,0,60,0.0971
2025-01-06,厦门软件园三期A区A01、A06,1757.0,1757.0,0.0,1170,0.0,0,232,0.4067
2025-01-07,厦门软件园三期A区A01、A06,1450.0,1450.0,0.0,1187,0.0,0,243,0.3651
2025-01-08,厦门软件园三期A区A01、A06,1328.0,1328.0,0.0,1141,0.0,0,239,0.3755
2025-01-09,厦门软件园三期A区A01、A06,1218.0,1218.0,0.0,1112,0.0,0,242,0.3679
2025-01-10,厦门软件园三期A区A01、A06,1554.0,1554.0,0.0,1164,0.0,0,239,0.3681
2025-01-11,厦门中航城C07,0.0,0.0,0.0,1,0.0,0,1,0.002
2025-01-11,厦门软件园三期A区A01、A06,990.0,990.0,0.0,495,0.0,0,120,0.1463
2025-01-12,厦门软件园三期A区A01、A06,500.0,500.0,0.0,326,0.0,0,64,0.1092
2025-01-13,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2025-01-13,厦门软件园三期A区A01、A06,1495.9,1495.9,0.0,1146,0.0,0,211,0.4033
2025-01-14,厦门软件园三期A区A01、A06,1441.0,1441.0,0.0,1155,0.0,0,221,0.3754
2025-01-15,厦门软件园三期A区A01、A06,1240.0,1240.0,0.0,1178,0.0,0,220,0.3724
2025-01-16,厦门软件园三期A区A01、A06,1642.0,1642.0,0.0,1147,0.0,0,222,0.3742
2025-01-17,厦门软件园三期A区A01、A06,1365.0,1365.0,0.0,1125,0.0,0,219,0.347
2025-01-18,厦门软件园三期A区A01、A06,912.0,912.0,0.0,498,0.0,0,138,0.1533
2025-01-19,厦门软件园三期A区A01、A06,498.0,498.0,0.0,324,0.0,0,93,0.0932
2025-01-20,厦门软件园三期A区A01、A06,1676.0,1676.0,0.0,1172,0.0,0,229,0.3865
2025-01-21,厦门软件园三期A区A01、A06,1284.0,1284.0,0.0,1122,0.0,0,251,0.3445
2025-01-22,厦门软件园三期A区A01、A06,1654.0,1654.0,0.0,1161,0.0,0,244,0.3689
2025-01-23,厦门软件园三期A区A01、A06,1559.0,1559.0,0.0,1046,0.0,0,226,0.3243
2025-01-24,厦门软件园三期A区A01、A06,1512.0,1512.0,0.0,1001,0.0,0,212,0.2801
2025-01-25,厦门软件园三期A区A01、A06,950.0,950.0,0.0,533,0.0,0,152,0.1105
2025-01-26,厦门软件园三期A区A01、A06,744.0,744.0,0.0,446,0.0,0,124,0.0916
2025-01-27,厦门软件园三期A区A01、A06,230.0,230.0,0.0,242,0.0,0,63,0.0414
2025-01-28,厦门软件园三期A区A01、A06,86.0,86.0,0.0,51,0.0,0,30,0.0075
2025-01-29,厦门软件园三期A区A01、A06,50.0,50.0,0.0,35,0.0,0,11,0.008
2025-01-30,厦门软件园三期A区A01、A06,44.0,44.0,0.0,36,0.0,0,17,0.0107
2025-01-31,厦门软件园三期A区A01、A06,16.0,16.0,0.0,37,0.0,0,9,0.0126
2025-02-01,厦门软件园三期A区A01、A06,68.0,68.0,0.0,58,0.0,0,18,0.0147
2025-02-02,厦门软件园三期A区A01、A06,62.0,62.0,0.0,82,0.0,0,22,0.0251
2025-02-03,厦门软件园三期A区A01、A06,196.0,196.0,0.0,148,0.0,0,27,0.0479
2025-02-04,厦门软件园三期A区A01、A06,298.0,298.0,0.0,250,0.0,0,52,0.0748
2025-02-05,厦门软件园三期A区A01、A06,1778.0,1778.0,0.0,925,0.0,0,168,0.3311
2025-02-06,厦门软件园三期A区A01、A06,1766.0,1766.0,0.0,1054,0.0,0,189,0.3713
2025-02-07,厦门软件园三期A区A01、A06,1640.0,1640.0,0.0,1128,0.0,0,222,0.3675
2025-02-08,厦门软件园三期A区A01、A06,1866.0,1866.0,0.0,1062,0.0,0,222,0.3418
2025-02-09,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2025-02-09,厦门软件园三期A区A01、A06,628.0,628.0,0.0,333,0.0,0,76,0.1105
2025-02-10,厦门软件园三期A区A01、A06,1650.0,1650.0,0.0,1164,0.0,0,213,0.4002
2025-02-11,厦门软件园三期A区A01、A06,1744.0,1744.0,0.0,1143,0.0,0,216,0.3781
2025-02-12,厦门软件园三期A区A01、A06,1924.0,1924.0,0.0,1193,0.0,0,281,0.3356
2025-02-13,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2025-02-13,厦门软件园三期A区A01、A06,2003.0,2003.0,0.0,1182,0.0,0,225,0.3861
2025-02-14,厦门软件园三期A区A01、A06,1774.0,1774.0,0.0,1231,0.0,0,233,0.3862
2025-02-15,厦门软件园三期A区A01、A06,714.0,714.0,0.0,498,0.0,0,133,0.1342
2025-02-16,厦门软件园三期A区A01、A06,461.0,461.0,0.0,308,0.0,0,83,0.0936
2025-02-17,厦门软件园三期A区A01、A06,1853.0,1853.0,0.0,1233,0.0,0,231,0.4269
2025-02-18,厦门软件园三期A区A01、A06,1790.0,1790.0,0.0,1230,0.0,0,246,0.3898
2025-02-19,厦门软件园三期A区A01、A06,1851.0,1851.0,0.0,1236,0.0,0,261,0.3818
2025-02-20,厦门软件园三期A区A01、A06,1948.0,1948.0,0.0,1249,0.0,0,257,0.3904
2025-02-21,厦门软件园三期A区A01、A06,1954.0,1954.0,0.0,1166,0.0,0,216,0.3769
2025-02-22,厦门软件园三期A区A01、A06,1256.0,1256.0,0.0,714,0.0,0,165,0.1902
2025-02-23,厦门软件园三期A区A01、A06,888.0,888.0,0.0,368,0.0,0,82,0.1068
2025-02-24,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2025-02-24,厦门软件园三期A区A01、A06,1916.0,1916.0,0.0,1262,0.0,0,255,0.4214
2025-02-25,厦门软件园三期A区A01、A06,1446.0,1446.0,0.0,1209,0.0,0,236,0.3745
2025-02-26,厦门软件园三期A区A01、A06,1922.0,1922.0,0.0,1192,0.0,0,232,0.3836
2025-02-27,厦门软件园三期A区A01、A06,1610.0,1610.0,0.0,1216,0.0,0,241,0.3904
2025-02-28,厦门软件园三期A区A01、A06,1928.0,1928.0,0.0,1198,0.0,0,229,0.3935
2025-03-01,厦门软件园三期A区A01、A06,1014.0,1014.0,0.0,501,0.0,0,125,0.1269
2025-03-02,厦门软件园三期A区A01、A06,828.0,828.0,0.0,414,0.0,0,105,0.1055
2025-03-03,厦门软件园三期A区A01、A06,2293.0,2293.0,0.0,1246,0.0,0,243,0.4034
2025-03-04,厦门软件园三期A区A01、A06,2265.0,2265.0,0.0,1272,0.0,0,269,0.3887
2025-03-05,厦门软件园三期A区A01、A06,1963.0,1963.0,0.0,1309,0.0,0,279,0.4085
2025-03-06,厦门软件园三期A区A01、A06,1638.0,1638.0,0.0,1169,0.0,0,227,0.38
2025-03-07,厦门软件园三期A区A01、A06,1714.0,1714.0,0.0,1235,0.0,0,246,0.3795
2025-03-08,厦门软件园三期A区A01、A06,1104.0,1104.0,0.0,508,0.0,0,132,0.1411
2025-03-09,厦门软件园三期A区A01、A06,974.0,974.0,0.0,348,0.0,0,87,0.1013
2025-03-10,厦门软件园三期A区A01、A06,1710.0,1710.0,0.0,1234,0.0,0,223,0.4024
2025-03-11,厦门软件园三期A区A01、A06,1582.0,1582.0,0.0,1137,0.0,0,219,0.3733
2025-03-12,厦门软件园三期A区A01、A06,1508.0,1508.0,0.0,1156,0.0,0,209,0.3702
2025-03-13,厦门软件园三期A区A01、A06,1736.0,1736.0,0.0,1184,0.0,0,230,0.3946
2025-03-14,厦门软件园三期A区A01、A06,1806.0,1806.0,0.0,1261,0.0,0,245,0.3811
2025-03-15,厦门中航城C07,0.0,0.0,0.0,1,0.0,0,1,0.002
2025-03-15,厦门软件园三期A区A01、A06,1438.0,1438.0,0.0,569,0.0,0,148,0.1576
2025-03-16,厦门软件园三期A区A01、A06,698.0,698.0,0.0,331,0.0,0,74,0.0945
2025-03-17,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2025-03-17,厦门软件园三期A区A01、A06,1676.0,1676.0,0.0,1202,0.0,0,228,0.4173
2025-03-18,厦门中航城C07,0.0,0.0,0.0,1,0.0,0,1,0.002
2025-03-18,厦门软件园三期A区A01、A06,1928.0,1928.0,0.0,1217,0.0,0,213,0.3769
2025-03-19,厦门软件园三期A区A01、A06,1552.0,1552.0,0.0,1173,0.0,0,231,0.3712
2025-03-20,厦门软件园三期A区A01、A06,1562.0,1562.0,0.0,1184,0.0,0,224,0.3856
2025-03-21,厦门国金广场,0.0,0.0,0.0,1,0.0,0,0,0.0017
2025-03-21,厦门软件园三期A区A01、A06,1634.0,1634.0,0.0,1211,0.0,0,213,0.3788
2025-03-22,厦门软件园三期A区A01、A06,972.0,972.0,0.0,489,0.0,0,123,0.1274
2025-03-23,厦门软件园三期A区A01、A06,748.0,748.0,0.0,314,0.0,0,83,0.1042
2025-03-24,厦门软件园三期A区A01、A06,1706.0,1706.0,0.0,1174,0.0,0,218,0.4105
2025-03-25,厦门软件园三期A区A01、A06,1478.0,1478.0,0.0,1197,0.0,0,258,0.3788
2025-03-26,厦门国金广场,0.0,0.0,0.0,1,0.0,0,1,0.0017
2025-03-26,厦门软件园三期A区A01、A06,1584.0,1584.0,0.0,1203,0.0,0,256,0.3701
2025-03-27,厦门软件园三期A区A01、A06,1510.0,1510.0,0.0,1139,0.0,0,218,0.3761
2025-03-28,厦门软件园三期A区A01、A06,1802.0,1802.0,0.0,1119,0.0,0,208,0.3539
2025-03-29,厦门软件园三期A区A01、A06,1316.0,1316.0,0.0,623,0.0,0,130,0.159
2025-03-30,厦门软件园三期A区A01、A06,684.0,684.0,0.0,327,0.0,0,90,0.0822
2025-03-31,厦门软件园三期A区A01、A06,2130.0,2130.0,0.0,1300,0.0,0,264,0.4341
2025-04-01,厦门软件园三期A区A01、A06,1652.0,1652.0,0.0,1205,0.0,0,219,0.3932
2025-04-02,厦门软件园三期A区A01、A06,1964.0,1964.0,0.0,1245,0.0,0,253,0.3956
2025-04-03,厦门软件园三期A区A01、A06,1960.0,1960.0,0.0,1199,0.0,0,251,0.3739
2025-04-04,厦门软件园三期A区A01、A06,460.0,460.0,0.0,193,0.0,0,38,0.0599
2025-04-05,厦门软件园三期A区A01、A06,620.0,620.0,0.0,221,0.0,0,52,0.0667
2025-04-06,厦门软件园三期A区A01、A06,452.0,452.0,0.0,354,0.0,0,74,0.1215
